CMD: HCI_Inquiry                                                 OPCODE = 0x(0x0401 )
CMD: TCI LE Write Advertising Delta                              OPCODE = 0x(0xFC73 )
CMD: TCI LE Write Num Packets Per CE                             OPCODE = 0x(0xFC74 )
CMD: TCI LE Echo Transmit Window Size and Offset                 OPCODE = 0x(0xFC75 )
CMD: TCI LE Get Device States                                    OPCODE = 0x(0xFC76 )
CMD: TCI LE Read Scan Backoff Info                               OPCODE = 0x(0xFC77 )
CMD: TCI LE Write Scan Frequencies                               OPCODE = 0x(0xFC78 )
CMD: TCI LE Read Scan Frequencies                                OPCODE = 0x(0xFC79 )
CMD: TCI LE Write Initiating Frequencies                         OPCODE = 0x(0xFC7A )
CMD: TCI LE Read Initiating Frequencies                          OPCODE = 0x(0xFC7B )
CMD: TCI LE Num Times Master Doesnt Tx In 1st Win                OPCODE = 0x(0xFC7C )
CMD: TCI LE Slave Listen Outside Latency                         OPCODE = 0x(0xFC7D )
CMD: TCI LE Read Peer SCA                                        OPCODE = 0x(0xFC7E )
CMD: TCI LE Read Session Key                                     OPCODE = 0x(0xFC7F )
CMD: TCI LE Read Hop Increment                                   OPCODE = 0x(0xFC80 )
CMD: TCI LE Read Access Address                                  OPCODE = 0x(0xFC81 )
CMD: TCI LE Whitening                                            OPCODE = 0x(0xFC82 )
CMD: TCI LE Scan Backoff Control                                 OPCODE = 0x(0xFC83 )
CMD: TCI LE PreConfigure Hop Increment                           OPCODE = 0x(0xFC84 )
CMD: TCI LE PreConfigure Access Address                          OPCODE = 0x(0xFC85 )
CMD: TCI LE Direct Advertising Timeout                           OPCODE = 0x(0xFC86 )
CMD: TCI LE Read Scan Parameters                                 OPCODE = 0x(0xFC87 )
CMD: TCI LE Set Trace Level                                      OPCODE = 0x(0xFC88 )
